Iteration,Timestamp,T1,T1_std,T2*,T2*_std,T2E,T2E_std
1,2025-10-02 17:45:56,3.775977923603513e-05,1.1265818240971708e-06,1.5921854615630338e-05,1.6304249822910402e-06,3.6843183625290266e-05,4.479408635722816e-06
2,2025-10-02 17:46:45,3.7553304579773794e-05,1.025922531102035e-06,1.4069431946150956e-05,1.1912524177128718e-06,2.9578910502925385e-05,2.346415714869089e-06
3,2025-10-02 17:47:33,3.4696970870884414e-05,8.227392911935379e-07,1.574565968986974e-05,1.4527665051673678e-06,2.661759942057529e-05,2.9057126362918914e-06
4,2025-10-02 17:48:22,3.575058207649917e-05,9.66549713607036e-07,1.515902626958443e-05,1.199224664512403e-06,3.392514868982843e-05,4.0981288472301625e-06
5,2025-10-02 17:49:10,4.4238157355325214e-05,1.2650854090220289e-06,1.6981165457119474e-05,1.326944602188352e-06,3.543297698538339e-05,4.305645956612495e-06
6,2025-10-02 17:49:59,3.48675037238344e-05,7.536523443080036e-07,1.5992052351476715e-05,1.3062164332319152e-06,2.5950483133918567e-05,2.635230278699777e-06
7,2025-10-02 17:50:47,4.01303597179492e-05,1.0555104515744391e-06,1.74819456115749e-05,1.6319607502946865e-06,3.099266028194769e-05,3.3735250252098656e-06
8,2025-10-02 17:51:37,3.891543805600861e-05,9.872041177460233e-07,1.6389254580806423e-05,1.3086758591825475e-06,2.789274158754296e-05,2.25943083473637e-06
9,2025-10-02 17:52:26,3.3164847886180127e-05,7.82942536186542e-07,1.5549726136265818e-05,1.6373557834077572e-06,3.5769778667482655e-05,3.980146758696562e-06
10,2025-10-02 17:53:14,4.038675125439539e-05,8.790336395892243e-07,1.452259458201155e-05,1.040807278052024e-06,3.688590932471314e-05,3.878304124186254e-06
11,2025-10-02 17:54:03,3.823539277858501e-05,9.936289516781756e-07,1.7484253980182274e-05,1.4534468870453208e-06,3.5163516378444726e-05,3.5143927547968e-06
12,2025-10-02 17:54:51,4.008536095989612e-05,1.2962520840523149e-06,1.5185280788365674e-05,1.252470438515802e-06,3.091285850431724e-05,3.722901377419952e-06
13,2025-10-02 17:55:40,3.564920635579227e-05,8.008140912879863e-07,1.5681504485609565e-05,1.3712110150063334e-06,3.286539196545313e-05,4.523886419293722e-06
14,2025-10-02 17:56:29,3.251835373752065e-05,1.0634354615065349e-06,1.5949279868365807e-05,1.6301481313750963e-06,3.2756901625630164e-05,3.586941610555657e-06
15,2025-10-02 17:57:17,2.812396334084255e-05,8.968294381972528e-07,1.1897650336267772e-05,1.2325429868428434e-06,3.26740886054111e-05,3.519613888636513e-06
16,2025-10-02 17:58:06,3.34014405303229e-05,8.121960958784255e-07,1.454320266325304e-05,1.3006925251627057e-06,3.369270647812783e-05,4.067598391711853e-06
17,2025-10-02 17:58:54,3.0534218823374815e-05,8.16943240730766e-07,1.4712173225239766e-05,1.2731331467888292e-06,2.721905232805355e-05,2.281722132448054e-06
