Iteration,Timestamp,T1,T1_std,T2*,T2*_std,T2E,T2E_std
1,2025-10-03 17:09:55,4.307532854319618e-05,1.3218820135435407e-06,1.764800078474238e-05,1.1154222673030857e-06,3.81469849763949e-05,7.520235284993539e-06
2,2025-10-03 17:10:43,3.7784554146602645e-05,1.083563419806049e-06,1.6890584675355313e-05,1.6893819319044964e-06,3.683655504982397e-05,8.710534150773866e-06
3,2025-10-03 17:11:31,3.669106734816019e-05,8.821735312798107e-07,1.603860366405918e-05,1.8466600258956795e-06,4.050513622488872e-05,8.854936517067172e-06
4,2025-10-03 17:12:18,3.8847524404639344e-05,1.1625737158712822e-06,1.6341771692518492e-05,1.9077058483370365e-06,4.2114051141739495e-05,1.076457467352849e-05
5,2025-10-03 17:13:05,4.202152898669098e-05,1.2650519616615506e-06,1.850872324893338e-05,1.5798443806163685e-06,4.004032701154792e-05,1.0358458117710482e-05
6,2025-10-03 17:13:53,3.9388617991242825e-05,9.545261108388106e-07,1.859740072984728e-05,2.049430483504722e-06,3.410019010896548e-05,7.449138207066607e-06
7,2025-10-03 17:14:40,3.667797729445255e-05,8.768872597778436e-07,1.6545580246773994e-05,1.906609573020584e-06,4.206721732158414e-05,1.1242947210063978e-05
8,2025-10-03 17:15:27,3.649966649432734e-05,1.1297151540279623e-06,1.620690499315458e-05,1.8271707994512463e-06,4.0711102337942506e-05,9.341235301879754e-06
9,2025-10-03 17:16:15,3.198187455843993e-05,8.164578277779436e-07,1.62289775862412e-05,1.6277961975347206e-06,3.593625928766109e-05,7.144757558150532e-06
10,2025-10-03 17:17:02,3.9445106742475033e-05,1.1689458847139951e-06,1.7052040492293585e-05,2.0638707756401386e-06,3.519689342690313e-05,8.88107446447714e-06
11,2025-10-03 17:17:49,3.6965489635942816e-05,9.173000030746376e-07,1.6034705320633336e-05,1.8312583173180543e-06,4.312735394296219e-05,1.1556135572385957e-05
12,2025-10-03 17:18:37,3.804658400263783e-05,9.877899472870528e-07,1.961582157417041e-05,2.2970328276633792e-06,4.0041460933837314e-05,7.888545147703853e-06
13,2025-10-03 17:19:24,3.711941727191359e-05,1.0831089034423982e-06,1.969490471886992e-05,2.3726195265489327e-06,3.651244028857192e-05,8.462022129068648e-06
14,2025-10-03 17:20:11,3.855817488696012e-05,1.1021625905390827e-06,1.8115791571737816e-05,2.151134238861661e-06,4.265559668459318e-05,1.1751539625061749e-05
15,2025-10-03 17:20:59,3.749745782588576e-05,1.1113122068616962e-06,1.7410246830440457e-05,2.144745032828614e-06,3.1250683050432215e-05,5.462797918634977e-06
16,2025-10-03 17:21:46,3.6685680456782777e-05,9.608194068538434e-07,1.7666089408230334e-05,1.98199293589737e-06,4.260925773058588e-05,1.059317770615871e-05
17,2025-10-03 17:22:34,3.378277713816935e-05,8.293685825617598e-07,1.804263423310637e-05,1.9750501027902263e-06,4.48667583337059e-05,1.1792844550284607e-05
18,2025-10-03 17:23:21,3.927102273748595e-05,1.008768458573012e-06,1.7395891769744765e-05,2.0308845790799357e-06,4.122029222397572e-05,1.0371288402134274e-05
19,2025-10-03 17:24:09,3.779631416778173e-05,9.355433934771376e-07,1.745279679110645e-05,1.883677668701846e-06,4.295279008825759e-05,9.73070134239594e-06
20,2025-10-03 17:24:56,3.3110920317991344e-05,9.330125856098156e-07,1.802251568516766e-05,2.2155221108186478e-06,4.485979995849654e-05,1.1597261238597324e-05
21,2025-10-03 17:25:43,4.069616371316087e-05,1.1172700517599948e-06,1.808744269404805e-05,1.8670518207016643e-06,4.263936552306724e-05,1.3455404560928136e-05
22,2025-10-03 17:26:31,3.6400986411555536e-05,9.18754532922818e-07,1.6838141145614216e-05,2.0672336898710497e-06,3.565350858836247e-05,6.464056375220651e-06
23,2025-10-03 17:27:19,3.992762347237999e-05,9.113163023229298e-07,1.7649103961625556e-05,1.8953793872039676e-06,3.623659228590981e-05,7.861135571285265e-06
24,2025-10-03 17:28:06,3.558350202892413e-05,8.184918144079757e-07,1.681792724861353e-05,1.8795594037977343e-06,4.496487011684813e-05,1.1284052755733824e-05
25,2025-10-03 17:28:53,3.4660305856082374e-05,8.015614892262452e-07,1.7346146404806362e-05,2.2885209253423578e-06,3.782846764432968e-05,7.774866561173045e-06
26,2025-10-03 17:29:41,2.632450960016186e-05,6.03144100616685e-07,7.999151356630207e-06,1.121071556183732e-06,3.716600592307273e-05,7.89056757543463e-06
27,2025-10-03 17:30:29,3.770601255959072e-05,8.781457644467259e-07,1.5668106873700793e-05,1.817974531134602e-06,4.268214431912831e-05,1.1881210771509506e-05
28,2025-10-03 17:31:16,3.2666077146803474e-05,9.332576629727806e-07,1.7830525583795165e-05,1.998493343550837e-06,3.75090813706791e-05,7.146601708329722e-06
29,2025-10-03 17:32:04,3.086533389407009e-05,7.741538053458208e-07,1.5479361890058385e-05,1.8006657892627895e-06,4.4270984406846736e-05,9.60267820440194e-06
30,2025-10-03 17:32:51,3.726810531223812e-05,7.938611564330078e-07,1.6204833727551105e-05,1.7182011611322828e-06,3.442137749076757e-05,6.400710003594968e-06
31,2025-10-03 17:33:39,3.3096966268297834e-05,9.297878484733388e-07,1.606337954296322e-05,2.057603567344125e-06,4.073001704196777e-05,1.0199438688385208e-05
32,2025-10-03 17:34:26,4.131242867133622e-05,1.1744777428900803e-06,1.7338039686620732e-05,1.8749393060023843e-06,4.184071634116826e-05,1.1092284312624176e-05
33,2025-10-03 17:35:13,4.079274737667227e-05,1.257298217592059e-06,1.7303177505256784e-05,1.976229960558229e-06,3.985385914062611e-05,9.60096042757319e-06
34,2025-10-03 17:36:01,3.557742417914511e-05,8.530548384369395e-07,1.648643807783401e-05,1.6805847243523682e-06,3.97890205767748e-05,8.583321122459755e-06
35,2025-10-03 17:36:49,4.4071088957098326e-05,1.3302675588028835e-06,1.785874254944808e-05,1.9413119941609105e-06,4.459698382741628e-05,1.3110002433499416e-05
36,2025-10-03 17:37:36,3.5538901896225994e-05,1.1096435583636829e-06,1.867158283430648e-05,2.182649265031869e-06,4.613389515872868e-05,1.056211731259447e-05
37,2025-10-03 17:38:23,4.161081916564946e-05,1.2208553298291897e-06,1.9659422922702063e-05,2.1138090025565e-06,3.785416774282346e-05,8.782919583031825e-06
38,2025-10-03 17:39:11,4.761594234148348e-05,1.1836527672735123e-06,1.743113356478254e-05,1.6659021494417722e-06,3.968239763119108e-05,9.624714435921308e-06
39,2025-10-03 17:39:58,4.781143360776952e-05,1.1890375815095854e-06,1.705686101427517e-05,1.6936149532357442e-06,3.90571639563575e-05,1.0222268409698508e-05
40,2025-10-03 17:40:47,3.8180020842437656e-05,1.0770294634405942e-06,1.6834489729999902e-05,1.9251028009865727e-06,3.486029093147103e-05,7.0805149722209374e-06
41,2025-10-03 17:41:34,3.733648913062382e-05,1.0752716296215822e-06,1.808987365747861e-05,1.982250280510161e-06,3.700925934180255e-05,7.720361223818393e-06
