Iteration,Timestamp,T1,T1_std,T2*,T2*_std,T2E,T2E_std
2.0,2025-10-04 16:08:18,4.62973210642037e-05,1.1669683069411157e-06,1.772410888500886e-05,1.7573813678586485e-06,4.06644107313614e-05,8.007379250081983e-06
3.0,2025-10-04 16:09:07,4.932507238675221e-05,1.4087210484694935e-06,1.6389790601367693e-05,1.7614838223782186e-06,4.451526295912167e-05,1.279630842247496e-05
4.0,2025-10-04 16:09:56,4.845724681157293e-05,1.4225570079644562e-06,1.7528278796197228e-05,1.8879317900315976e-06,4.373000792123882e-05,1.27901021350711e-05
5.0,2025-10-04 16:10:44,4.268090144154968e-05,8.755484034146937e-07,1.621387548356168e-05,1.6519826147386213e-06,3.6330215478663774e-05,8.87411765627141e-06
6.0,2025-10-04 16:11:33,4.713846644310848e-05,1.3872840385641643e-06,1.7866616575323846e-05,1.8229290117222447e-06,4.03346487525269e-05,1.0378962906165037e-05
7.0,2025-10-04 16:12:22,4.641262710913807e-05,1.4839867058254523e-06,1.7021494156832517e-05,1.5725674195413344e-06,3.603676517882626e-05,9.338366520852234e-06
8.0,2025-10-04 16:13:08,4.843491191053317e-05,1.4770141940294143e-06,1.8054105646703175e-05,1.956762067135845e-06,4.071706280273091e-05,1.0752812857843796e-05
9.0,2025-10-04 16:13:57,4.775236643905778e-05,9.93823820118233e-07,1.650980783418632e-05,1.6575775586952757e-06,4.795091524711914e-05,1.4838233683524956e-05
10.0,2025-10-04 16:14:46,4.410823743628001e-05,1.1919635890236264e-06,1.68605867472138e-05,1.9040572886960053e-06,3.468946361029346e-05,6.344872183454977e-06
11.0,2025-10-04 16:15:33,4.7974832905417486e-05,1.371611398340098e-06,1.880458626035697e-05,2.035629566730342e-06,4.1088289944202216e-05,1.1514107828826953e-05
12.0,2025-10-04 16:16:22,4.4712306096705845e-05,1.222896120752207e-06,1.670429580946653e-05,1.939558934411158e-06,3.2246799214652455e-05,6.898395018454523e-06
13.0,2025-10-04 16:17:11,4.297772871364458e-05,1.1220430201981983e-06,1.5970670373510742e-05,1.6336792454103188e-06,3.779080409227476e-05,9.017457494917648e-06
14.0,2025-10-04 16:18:00,4.468206357488569e-05,1.4519220043345363e-06,1.673120509604331e-05,1.7434758340169732e-06,4.060333301336705e-05,1.1518884312327198e-05
15.0,2025-10-04 16:18:49,4.388399874977189e-05,1.220693659285994e-06,1.722069424570094e-05,1.9769140093841883e-06,4.016189719058261e-05,1.0843684764420506e-05
16.0,2025-10-04 16:19:38,4.37623078017868e-05,1.2520614365973646e-06,1.7520801454562474e-05,1.8783732160615769e-06,3.349339827463105e-05,7.604728814380135e-06
17.0,2025-10-04 16:20:26,5.428848888189286e-05,1.8782723192085771e-06,1.8519450130316528e-05,1.7871630158780356e-06,3.8084755092482325e-05,1.018003017517065e-05
18.0,2025-10-04 16:21:16,4.672870811139873e-05,1.540374400761423e-06,1.828998243325053e-05,1.8461181409513223e-06,4.600338221294464e-05,1.374351830150976e-05
19.0,2025-10-04 16:22:05,5.325108801934597e-05,1.7715276969336016e-06,1.8439654674518025e-05,2.0265038022155072e-06,4.041546910360516e-05,1.0782867315826368e-05
20.0,2025-10-04 16:22:53,5.2429924934704886e-05,1.4125939179963838e-06,1.6961645476820664e-05,1.793842040546046e-06,4.014339453228821e-05,1.0399025331907328e-05
21.0,2025-10-04 16:23:43,5.044833913281366e-05,1.566273084378322e-06,1.9458742772426877e-05,1.9929008607786195e-06,4.751808865033347e-05,1.5444124162356862e-05
22.0,2025-10-04 16:24:31,4.689089571430216e-05,1.2912006691937785e-06,1.7658231830530724e-05,1.8535517899939087e-06,3.511847427484227e-05,7.687177465914864e-06
23.0,2025-10-04 16:25:20,5.208889114505233e-05,1.7132383671733564e-06,1.922934196119108e-05,1.9021114640110227e-06,3.981003161102059e-05,1.0041404104670534e-05
24.0,2025-10-04 16:26:09,4.854883366811613e-05,1.2880520339240803e-06,1.786541911696915e-05,1.9393011939818698e-06,3.491892812901298e-05,8.820151780654397e-06
25.0,2025-10-04 16:26:58,4.6983952906254345e-05,1.440090630454006e-06,1.6404365076994054e-05,1.740374659213399e-06,4.794955849329874e-05,1.5156338299233787e-05
26.0,2025-10-04 16:27:47,4.248951517249466e-05,1.0044063205395455e-06,1.7812205906464484e-05,2.089530549514928e-06,3.74446305579923e-05,8.552812631466913e-06
27.0,2025-10-04 16:28:35,4.544432407649346e-05,1.2699339851525096e-06,1.880506889140321e-05,2.081308131955945e-06,3.825714409888548e-05,1.0623114506820207e-05
28.0,2025-10-04 16:29:25,4.462020187956384e-05,1.4576095438166848e-06,1.801592667449725e-05,2.107465531322073e-06,4.9100696980275416e-05,1.360632440164707e-05
29.0,2025-10-04 16:30:14,4.6421991114709016e-05,1.3823268135994571e-06,1.67992171855591e-05,1.9280228562401744e-06,3.898114402223207e-05,9.934357619196424e-06
30.0,2025-10-04 16:31:03,4.621510775959514e-05,1.6979762557016347e-06,1.7593133724291832e-05,1.905365529805509e-06,4.217289681585079e-05,1.110359298417414e-05
31.0,2025-10-04 16:31:52,4.676365284095319e-05,1.250099382024729e-06,1.7456320589026575e-05,1.7018367435202334e-06,3.768117467872756e-05,1.0653798320498649e-05
32.0,2025-10-04 16:32:41,4.7215698921743154e-05,1.3733408272017129e-06,1.7345729096396312e-05,1.971012422096545e-06,4.378151685013876e-05,1.186370912992347e-05
33.0,2025-10-04 16:33:30,4.389718045638702e-05,1.280456859441743e-06,1.7389831136860323e-05,1.931454519910307e-06,3.5824095233172315e-05,8.154468847981735e-06
34.0,2025-10-04 16:34:20,4.6112932584385646e-05,1.1950655949450983e-06,1.907007776602576e-05,2.247760874389734e-06,5.029302953474257e-05,1.4025852904351609e-05
35.0,2025-10-04 16:35:09,4.247213241947989e-05,1.3609098468504542e-06,1.687564734775826e-05,2.1043503898696217e-06,3.673213749344484e-05,8.108137395727126e-06
36.0,2025-10-04 16:35:59,4.173511304417232e-05,1.0767262643672644e-06,1.7244469024957354e-05,1.687913871211823e-06,3.265752827430468e-05,6.322575095501822e-06
37.0,2025-10-04 16:36:48,4.187349335493806e-05,1.118145389570744e-06,1.570675172279934e-05,1.6851607690034754e-06,4.067419183595433e-05,1.0967892190684505e-05
38.0,2025-10-04 16:37:37,4.220204093030589e-05,1.2623800590524842e-06,1.8000776522475448e-05,1.763563834667629e-06,4.2597732680782485e-05,1.1205522985271584e-05
39.0,2025-10-04 16:38:26,4.746791903276204e-05,1.2197527397630095e-06,1.702092891764373e-05,1.917241570998594e-06,3.654460965618611e-05,8.251676242027325e-06
40.0,2025-10-04 16:39:15,4.178843976987423e-05,1.181351707426944e-06,1.634394086202917e-05,1.8845549985491663e-06,3.614734647161555e-05,8.720635918346577e-06
41.0,2025-10-04 16:40:06,4.101785675492131e-05,1.1720155831303616e-06,1.1214790748059755e-05,7.531823870470676e-07,3.843758472443781e-05,9.056545385159278e-06
42.0,2025-10-04 16:40:55,4.46186740974408e-05,1.420733205943836e-06,1.7942572442475324e-05,1.960752685160906e-06,4.162457128420449e-05,9.915481581164626e-06
43.0,2025-10-04 16:41:45,3.643311721068798e-05,1.0565476139405735e-06,8.866885448544082e-06,8.121084753533842e-07,3.122992849347028e-05,5.817892575171401e-06
44.0,2025-10-04 16:42:34,3.9672680593572096e-05,9.695321087771794e-07,1.0683880123485425e-05,9.753346000248892e-07,3.602146018311103e-05,7.533128581116983e-06
45.0,2025-10-04 16:43:26,3.956312077013635e-05,1.114394656647721e-06,1.6576713058658044e-05,1.9127784761100893e-06,3.832452173924139e-05,9.123523503910418e-06
46.0,2025-10-04 16:44:15,4.450859914251204e-05,1.0095130579263682e-06,1.7030856452882048e-05,2.0200324069185807e-06,4.042088784150799e-05,1.071442037426498e-05
