Iteration,Timestamp,T1,T1_std,T2*,T2*_std,T2E,T2E_std
1,2025-10-06 19:30:21,4.31511699532372e-05,1.3741046673365982e-06,1.556071211794574e-05,1.563801142436831e-06,3.766771072255537e-05,8.57735833090707e-06
2,2025-10-06 19:31:31,4.191787071272657e-05,1.257817325820336e-06,1.5182750281228508e-05,1.773246715012761e-06,2.743004217475864e-05,4.857524577400242e-06
3,2025-10-06 19:32:20,4.634027314742717e-05,1.260399602931995e-06,1.5583348797587604e-05,1.5086531136447237e-06,3.522996333016337e-05,9.256788894243946e-06
4,2025-10-06 19:33:09,4.569194357273432e-05,1.6074612062477143e-06,1.5893228941132875e-05,1.6411471271838451e-06,3.308954189917834e-05,7.78683506682153e-06
5,2025-10-06 19:33:58,4.621631533630044e-05,1.2522489965243796e-06,1.5554250866411934e-05,1.449182982221183e-06,4.1453577355632376e-05,1.0882128909564537e-05
6,2025-10-06 19:34:47,4.901614428631795e-05,1.2743956100239808e-06,1.6810097433817006e-05,1.783123095675793e-06,3.278419267416233e-05,7.79283876300631e-06
7,2025-10-06 19:35:36,4.613351917703845e-05,1.5286055853208397e-06,1.761146959489146e-05,1.799776810790251e-06,3.581364419535937e-05,7.822311514806555e-06
8,2025-10-06 19:36:25,4.813495631439402e-05,1.4831774501226233e-06,1.5939048277457957e-05,1.5760365348352291e-06,3.779602833375861e-05,8.48652584321998e-06
9,2025-10-06 19:37:14,4.889374740013608e-05,1.1771624979520984e-06,1.6930241412804747e-05,1.6821345684119278e-06,3.611902956746072e-05,8.673286723870395e-06
10,2025-10-06 19:38:03,4.755616630536253e-05,1.5178802113078878e-06,1.655578947312719e-05,1.6947209754885235e-06,3.510659723326981e-05,8.510627084948877e-06
11,2025-10-06 19:38:53,3.752626435327144e-05,1.159848702774087e-06,1.2414529843907118e-05,7.636278422637759e-07,3.380819364040555e-05,6.2947793620353e-06
12,2025-10-06 19:39:42,4.683447649411754e-05,1.0917061702273009e-06,1.6181701375295177e-05,1.7495295145314476e-06,3.247028636987892e-05,6.973927346225918e-06
13,2025-10-06 19:40:32,4.91089945469092e-05,1.517643013819962e-06,1.738017169250483e-05,1.7314977023907818e-06,4.3884033124275135e-05,1.2582756983852155e-05
14,2025-10-06 19:41:21,4.466043590412028e-05,1.2269230742064843e-06,1.8471065101666184e-05,1.9373867832415805e-06,3.6204730962774434e-05,8.753270021509119e-06
15,2025-10-06 19:42:10,5.358312388414888e-05,1.5907532234065156e-06,1.95734245409529e-05,2.0379165487111776e-06,4.239414097528815e-05,1.134392842598245e-05
16,2025-10-06 19:42:59,4.8832191987591145e-05,1.6651342435791986e-06,1.9363662253635283e-05,2.0350582302427813e-06,4.212317746499217e-05,1.1834286803527315e-05
17,2025-10-06 19:43:48,5.045164160089044e-05,1.3718944983189917e-06,1.776707613321271e-05,1.963715140688628e-06,4.315520382180971e-05,1.3045102077488362e-05
18,2025-10-06 19:44:38,4.56352174988961e-05,1.2614214120105624e-06,1.7403278500083275e-05,1.9019610537457128e-06,3.538931917490551e-05,8.955962144955948e-06
19,2025-10-06 19:45:27,4.7816128175837136e-05,1.2228201375160077e-06,1.767181213652158e-05,1.966460864928825e-06,4.05582276021832e-05,1.0891525214369576e-05
