Iteration,Timestamp,T1,T1_std,T2*,T2*_std,T2E,T2E_std
1,2025-10-10 08:10:03,1.7520755141386957e-05,4.102780558011964e-07,1.0044160180244788e-05,5.551470849168872e-07,1.2325596979279041e-05,6.58935919858879e-07
2,2025-10-10 08:11:10,1.797016663585005e-05,2.5477651934236996e-07,1.1437762751809188e-05,5.108015733873497e-07,1.2583713302705135e-05,6.003142335173522e-07
3,2025-10-10 08:12:14,1.567877361008385e-05,3.001612008290906e-07,1.0071473848016765e-05,4.689470322717532e-07,1.199973688170708e-05,4.770848969660136e-07
4,2025-10-10 08:13:18,1.555187108603917e-05,3.269484832815484e-07,9.81297442215201e-06,4.67316363143999e-07,1.2512469764969225e-05,6.659938601760373e-07
5,2025-10-10 08:14:22,1.4414032961429513e-05,2.464621368764796e-07,9.872167278324184e-06,5.726798275204061e-07,1.1093161921049699e-05,5.098073649128828e-07
6,2025-10-10 08:15:27,1.4033842350213988e-05,2.701897477919046e-07,8.333749768496546e-06,4.409617932030132e-07,1.0414084838927806e-05,5.143578737962467e-07
7,2025-10-10 08:16:31,1.687737697420033e-05,4.021923976344455e-07,9.92390081733241e-06,4.1369960986732846e-07,1.2167091419046372e-05,6.673905060104199e-07
8,2025-10-10 08:17:35,1.470478632970007e-05,3.171896320142881e-07,8.777181768504505e-06,5.762115417205936e-07,1.1064151560047364e-05,6.226370543757192e-07
9,2025-10-10 08:18:40,1.635682915779313e-05,3.7179695364062806e-07,8.342214286027883e-06,4.902437160202042e-07,1.2806017981814577e-05,6.301761458517623e-07
10,2025-10-10 08:19:44,1.676681940554481e-05,4.0501517880783744e-07,9.798004582561859e-06,4.6543845003054973e-07,1.2233148376727954e-05,6.482428129710494e-07
11,2025-10-10 08:20:48,1.4503057840675737e-05,2.6296745209183484e-07,9.61925761289173e-06,4.830057684618515e-07,1.1373102126954748e-05,5.446381277781408e-07
12,2025-10-10 08:21:53,1.5133167878822462e-05,3.4046835043102714e-07,9.986474764245301e-06,4.855455139885338e-07,1.2415785883845842e-05,6.8083919564078e-07
13,2025-10-10 08:22:57,1.6616436110616917e-05,3.7850014169916327e-07,9.60373152159022e-06,4.851077584075712e-07,1.1471523140960116e-05,6.069434262422938e-07
14,2025-10-10 08:24:01,1.4752941010165443e-05,2.51261151887142e-07,9.62569568141447e-06,3.7779576116885394e-07,1.223452909071554e-05,6.208617544887993e-07
15,2025-10-10 08:25:06,1.2693201445479474e-05,2.4789870904585187e-07,8.4128833532926e-06,4.122264422191574e-07,1.1514852907401618e-05,5.89761843823081e-07
16,2025-10-10 08:26:13,1.4751804138457558e-05,3.066802776094567e-07,8.992901303406242e-06,4.6454132426695693e-07,1.1416711237943744e-05,6.425025290653835e-07
