Iteration,Timestamp,T1,T1_std,T2*,T2*_std,T2E,T2E_std,Qubit Frequency
1,2025-10-22 17:36:16,9.186496441548897e-06,3.292975283413357e-07,6.242120534460938e-06,3.788838533502668e-07,8.623211097846806e-06,5.351038211189455e-07,5439121383.345679
2,2025-10-22 17:36:51,8.147463195440352e-06,2.5315922130915824e-07,6.0419182410509364e-06,4.1885019087840003e-07,8.821988294549499e-06,5.279267249714918e-07,5439116130.151623
3,2025-10-22 17:37:25,7.478896207890884e-06,2.023258717042432e-07,6.213073125316271e-06,4.887656495023265e-07,8.464375084393794e-06,4.824375099541078e-07,5439113882.450728
4,2025-10-22 17:38:00,8.409864349356866e-06,2.5974477124776483e-07,5.801709151098677e-06,3.732491062417514e-07,8.523405201632528e-06,4.3741703635866853e-07,5439112002.765602
5,2025-10-22 17:38:34,8.343719685166562e-06,2.181013357155968e-07,nan,nan,9.195969665531933e-06,5.290586816579444e-07,nan
6,2025-10-22 17:39:09,8.569650899570291e-06,2.554033492695334e-07,5.768555116247853e-06,4.368574470327656e-07,8.253351004405829e-06,5.05708767812269e-07,5439120376.260808
7,2025-10-22 17:39:44,7.2702892612852565e-06,3.009678429168835e-07,nan,nan,6.8232283974012375e-06,3.642112712242372e-07,nan
8,2025-10-22 17:40:18,7.433216831165268e-06,3.0271463894932417e-07,5.688900084566129e-06,4.1979120980183783e-07,6.775114824497663e-06,4.191254714398426e-07,5439126761.037732
9,2025-10-22 17:40:53,6.980400202749593e-06,2.1643630553804066e-07,nan,nan,7.556241163664268e-06,5.062600686455072e-07,nan
10,2025-10-22 17:41:27,7.85842525630187e-06,2.59587202714431e-07,5.711713606748603e-06,3.4852380906112894e-07,8.446451619681383e-06,5.593627083197019e-07,5439116275.970976
11,2025-10-22 17:42:01,8.065708510418546e-06,2.0513617745041803e-07,nan,nan,7.916703750110443e-06,5.12580177158356e-07,nan
12,2025-10-22 17:42:36,8.23739005495483e-06,2.119256286556102e-07,6.827341728632419e-06,4.979040199123815e-07,8.010415006642901e-06,5.075184333864105e-07,5439133598.70627
13,2025-10-22 17:43:11,8.457279706108878e-06,2.7175939605983374e-07,nan,nan,8.586144723654598e-06,5.198925588024277e-07,nan
14,2025-10-22 17:43:45,8.622876843666916e-06,2.475441505660086e-07,6.101813595726924e-06,4.798543268361749e-07,8.188994433888652e-06,3.2777638280117955e-07,5439128587.467108
15,2025-10-22 17:44:20,9.004851752481002e-06,2.8194731715786e-07,7.022643642384807e-06,4.112878450329322e-07,9.792138517150661e-06,6.281756934929734e-07,5439118338.506423
16,2025-10-22 17:44:54,6.777744881336645e-06,2.4162905576527917e-07,nan,nan,7.242380740235532e-06,4.528826884799294e-07,nan
17,2025-10-22 17:45:29,1.0043706499374139e-05,2.768090810475479e-07,8.948153362275946e-06,6.202339911125343e-07,9.977373313541094e-06,5.793275546995688e-07,5439119169.896723
