Iteration,Timestamp,T1,T1_std,T2*,T2*_std,T2E,T2E_std,Qubit Frequency,TimeDiff,Gap
1,2025-10-22 17:36:16,9.186496441548895e-06,3.292975283413357e-07,6.242120534460938e-06,3.788838533502668e-07,8.623211097846806e-06,5.351038211189455e-07,5439121383.345679,,False
2,2025-10-22 17:36:51,8.147463195440352e-06,2.5315922130915824e-07,6.041918241050936e-06,4.1885019087840003e-07,8.821988294549499e-06,5.279267249714918e-07,5439116130.151623,35.0,False
3,2025-10-22 17:37:25,7.478896207890884e-06,2.023258717042432e-07,6.213073125316271e-06,4.887656495023265e-07,8.464375084393794e-06,4.824375099541078e-07,5439113882.450728,34.0,False
4,2025-10-22 17:38:00,8.409864349356866e-06,2.597447712477649e-07,5.801709151098677e-06,3.732491062417514e-07,8.523405201632528e-06,4.3741703635866853e-07,5439112002.765602,35.0,False
6,2025-10-22 17:39:09,8.569650899570291e-06,2.554033492695334e-07,5.768555116247853e-06,4.368574470327656e-07,8.253351004405829e-06,5.05708767812269e-07,5439120376.260808,69.0,False
8,2025-10-22 17:40:18,7.433216831165268e-06,3.0271463894932417e-07,5.688900084566129e-06,4.197912098018378e-07,6.775114824497663e-06,4.191254714398426e-07,5439126761.037732,69.0,False
10,2025-10-22 17:41:27,7.85842525630187e-06,2.59587202714431e-07,5.711713606748603e-06,3.4852380906112894e-07,8.446451619681383e-06,5.593627083197019e-07,5439116275.970976,69.0,False
12,2025-10-22 17:42:36,8.23739005495483e-06,2.119256286556102e-07,6.827341728632419e-06,4.979040199123815e-07,8.010415006642901e-06,5.075184333864105e-07,5439133598.70627,69.0,False
14,2025-10-22 17:43:45,8.622876843666916e-06,2.475441505660086e-07,6.101813595726924e-06,4.798543268361749e-07,8.188994433888652e-06,3.277763828011796e-07,5439128587.467108,69.0,False
15,2025-10-22 17:44:20,9.004851752481002e-06,2.8194731715786e-07,7.022643642384807e-06,4.112878450329322e-07,9.79213851715066e-06,6.281756934929734e-07,5439118338.506423,35.0,False
17,2025-10-22 17:45:29,1.004370649937414e-05,2.768090810475479e-07,8.948153362275946e-06,6.202339911125343e-07,9.977373313541094e-06,5.793275546995688e-07,5439119169.896723,69.0,False
18,2025-10-22 17:46:03,8.30613304625416e-06,2.6995888243861625e-07,6.917257138416844e-06,5.16790073940498e-07,9.162686657182562e-06,5.671004022636968e-07,5439124554.090601,34.0,False
19,2025-10-22 17:46:38,9.423438856570598e-06,2.391081379886484e-07,6.697116407217152e-06,2.9570958473241215e-07,9.21649499896482e-06,6.136118708212056e-07,5439117343.591389,35.0,False
20,2025-10-22 17:47:13,8.843913560152572e-06,2.9607557766242485e-07,6.2396904094708106e-06,4.148953888933137e-07,9.269688776347706e-06,4.015724476301767e-07,5439111156.013633,35.0,False
22,2025-10-22 17:48:21,9.524232474911187e-06,2.553482538175984e-07,6.906127915318194e-06,4.033965532351296e-07,8.727308349998353e-06,5.594314646986167e-07,5439113516.969931,68.0,False
23,2025-10-22 17:48:56,8.727303890232463e-06,2.48408187345821e-07,6.370861866944466e-06,4.25280769378468e-07,8.50545893427146e-06,4.521605322777227e-07,5439110722.316196,35.0,False
25,2025-10-22 17:50:06,9.247918008492562e-06,3.1877629954861013e-07,6.462080817337679e-06,4.81677425131254e-07,8.97688529644114e-06,5.137696547684635e-07,5439117529.819557,70.0,False
