Iteration,Timestamp,T1,T1_std,T2*,T2*_std,T2E,T2E_std,Qubit Frequency
1,2025-11-24 17:45:24,7.582800944483381e-06,2.1989652345022463e-07,9.481515738984925e-06,7.397295156358546e-07,6.634927939952462e-06,1.2905563056010124e-06,4360995485.1299715
2,2025-11-24 17:46:02,7.617845641183507e-06,1.583259925299192e-07,1.1299081706495073e-05,6.686836653647936e-07,5.9931667211188255e-06,1.071999766869967e-06,4360999015.277317
3,2025-11-24 17:46:40,7.691303930856819e-06,1.3278504148185303e-07,nan,nan,4.514447877301819e-06,1.4990882389926852e-06,nan
4,2025-11-24 17:47:17,7.407235670386925e-06,1.3455715497037048e-07,1.274066073420066e-05,9.422825990986658e-07,4.872491254914735e-06,1.1114127312008489e-06,4360996054.4833355
5,2025-11-24 17:47:55,7.148221849551106e-06,1.2034972457750002e-07,1.2643842710824416e-05,7.393101953294652e-07,6.5973588307954856e-06,1.257210500720893e-06,4360997940.259793
6,2025-11-24 17:48:32,7.328786228555373e-06,1.6077681827451434e-07,1.2191841310960072e-05,7.51280367246614e-07,4.286445848489251e-06,1.1878016543049888e-06,4360997609.701184
7,2025-11-24 17:49:10,7.1836968134064705e-06,1.833551319759561e-07,nan,nan,5.107647323976394e-06,1.5419619150772713e-06,nan
8,2025-11-24 17:49:48,7.355001683029272e-06,1.2304095681307979e-07,nan,nan,4.725904520386237e-06,1.072241832712238e-06,nan
9,2025-11-24 17:50:25,7.194873742788488e-06,1.331078735274758e-07,1.2079172417855943e-05,9.517808635946174e-07,4.573391966689044e-06,9.13275274678465e-07,4360997852.973793
10,2025-11-24 17:51:03,7.037776523999284e-06,1.4504935260774105e-07,1.0603267780906478e-05,9.57556052645367e-07,4.657138319652532e-06,1.1623764341702097e-06,4360997566.576348
11,2025-11-24 17:51:42,7.119960208745724e-06,1.4345068868375632e-07,nan,nan,9.567959403211646e-06,1.6477890376113999e-06,nan
12,2025-11-24 17:52:19,7.335349599069119e-06,8.837684339834664e-08,nan,nan,7.69836132685775e-06,1.4999484948329292e-06,nan
13,2025-11-24 17:52:57,7.160029538155754e-06,1.2316135064728696e-07,nan,nan,7.200216644243085e-06,1.2594936802714314e-06,nan
14,2025-11-24 17:53:35,7.53484055704412e-06,1.0936765926134046e-07,1.2333706353562235e-05,9.075635429667289e-07,5.837999549562767e-06,1.2601020613253502e-06,4361002565.354801
15,2025-11-24 17:54:12,7.412653856286866e-06,1.1487384762096156e-07,nan,nan,4.762002646430119e-06,1.3340048995228691e-06,nan
16,2025-11-24 17:54:50,6.942055427838767e-06,1.3951553703984142e-07,nan,nan,4.794181035272516e-06,1.0258390680238965e-06,nan
17,2025-11-24 17:55:28,6.527819109702904e-06,1.7642508572975203e-07,nan,nan,4.6946408829295905e-06,1.0985683750622174e-06,nan
18,2025-11-24 17:56:05,7.216913196383956e-06,1.4118979196454653e-07,nan,nan,7.338951223845314e-06,1.3912303563411765e-06,nan
19,2025-11-24 17:56:43,6.9266152169511486e-06,1.3153857329759829e-07,1.0990503058305734e-05,1.114800099095853e-06,5.3739616590053885e-06,1.022112227937447e-06,4360999655.248302
20,2025-11-24 17:57:21,7.219036493921749e-06,1.7198539046326087e-07,1.109936461851646e-05,9.647415123519814e-07,5.818620908870642e-06,1.1348219409788657e-06,4360997997.355584
21,2025-11-24 17:57:58,7.3017983039935785e-06,1.687254678652169e-07,1.128443158537884e-05,9.790193645781745e-07,6.685332860634219e-06,1.13555498188288e-06,4360996972.077983
22,2025-11-24 17:58:36,6.935008811437271e-06,1.329271371136185e-07,nan,nan,6.9460125495801606e-06,1.3480390799183023e-06,nan
23,2025-11-24 17:59:13,7.72019284789316e-06,1.2488262750877742e-07,1.1975510862516359e-05,8.483066215609654e-07,5.9375963425978284e-06,1.1142744935990678e-06,4360998295.456621
24,2025-11-24 17:59:51,7.46118921424177e-06,1.711139146580124e-07,1.1624280170208223e-05,9.718976247410285e-07,7.51401644150107e-06,1.5231863378437896e-06,4360997468.509527
25,2025-11-24 18:00:29,7.057607705585056e-06,1.2082163803552097e-07,1.1242771115194117e-05,9.557560462337744e-07,8.638660248694308e-06,1.7624355646489542e-06,4360997281.000276
26,2025-11-24 18:01:06,7.412308085541497e-06,1.691849265456279e-07,nan,nan,6.181067148780528e-06,1.3049190228512604e-06,nan
27,2025-11-24 18:01:44,7.095430133219338e-06,1.5285333026972042e-07,1.131594478009923e-05,9.814684393611484e-07,6.2895475494428865e-06,1.2970464466119116e-06,4361000064.973565
28,2025-11-24 18:02:22,7.018375401512955e-06,1.7228435915501575e-07,nan,nan,4.0854695158021315e-06,9.256161412542353e-07,nan
29,2025-11-24 18:02:59,7.81371656133345e-06,1.295009297523167e-07,nan,nan,4.165226547447887e-06,1.3630619979467902e-06,nan
30,2025-11-24 18:03:37,7.2825825778721764e-06,1.747529130938638e-07,nan,nan,4.792267389586158e-06,1.141024884417325e-06,nan
31,2025-11-24 18:04:16,7.333583132096422e-06,8.192409977478402e-08,9.422032622552479e-06,9.499961817005002e-07,8.199565454836133e-06,1.6255961928435246e-06,4360995647.77797
32,2025-11-24 18:04:53,7.219340061759283e-06,1.6718976724072687e-07,1.0774568084626068e-05,1.1317105259758993e-06,5.659117900069788e-06,1.13748146119109e-06,4360998372.051424
